"SCIENTIFIC_NAME","TAXON_ORDER","CATEGORY","SPECIES_CODE","PRIMARY_COM_NAME","ORDER","FAMILY","REPORT_AS","HebName"
"Thalasseus maximus/albididorsalis",6674,"slash","y00387","West African Crested/Royal Tern","Charadriiformes","Laridae",NA,"West African Crested/Royal Tern"
"Fregetta grallaria/tropica",6823,"slash","y00388","White-bellied/Black-bellied Storm-Petrel","Procellariiformes","Oceanitidae",NA,"White-bellied/Black-bellied Storm-Petrel"
"Ixobrychus sinensis/cinnamomeus",7264,"slash","y00389","Cinnamon/Yellow Bittern","Pelecaniformes","Ardeidae",NA,"Cinnamon/Yellow Bittern"
"Ardea intermedia/Bubulcus ibis",7373,"slash","y00390","Intermediate/Cattle Egret-","Pelecaniformes","Ardeidae",NA,"Intermediate/Cattle Egret-"
"Circus aeruginosus/spilonotus",7862,"slash","y00391","Western/Eastern Marsh Harrier","Accipitriformes","Accipitridae",NA,"זרון סוף/סוף מזרחי"
"Accipiter nisus/gentilis",8075,"slash","y00392","Eurasian Sparrowhawk/Eurasian Goshawk","Accipitriformes","Accipitridae",NA,"Eurasian Sparrowhawk/Eurasian Goshawk"
"Milvus migrans/Haliastur indus",8104,"slash","y00393","Black/Brahminy Kite","Accipitriformes","Accipitridae",NA,"Black/Brahminy Kite"
"Otus scops/cyprius",8473,"slash","y00394","Eurasian/Cyprus Scops-Owl","Strigiformes","Strigidae",NA,"שעיר מצוי/קפריסאי"
"Glaucidium/Aegolius sp. (pygmy-owl/saw-whet owl sp.)",9024,"spuh","y00395","pygmy-owl/saw-whet owl sp.","Strigiformes","Strigidae",NA,"pygmy-owl/saw-whet owl sp."
"Buceros rhinoceros/bicornis",9428,"slash","y00396","Rhinoceros/Great Hornbill","Bucerotiformes","Bucerotidae",NA,"Rhinoceros/Great Hornbill"
"Ocyceros birostris/griseus",9434,"slash","y00397","Indian/Malabar Gray Hornbill","Bucerotiformes","Bucerotidae",NA,"Indian/Malabar Gray Hornbill"
"Alcedo atthis/meninting",9571,"slash","y00398","Common/Blue-eared Kingfisher","Coraciiformes","Alcedinidae",NA,"Common/Blue-eared Kingfisher"
"Psilopogon faiostrictus/lineatus",10443,"slash","y00399","Green-eared/Lineated Barbet","Piciformes","Megalaimidae",NA,"Green-eared/Lineated Barbet"
"Indicator minor",10672,"species","y00400","Lesser Honeyguide","Piciformes","Indicatoridae",NA,"Lesser Honeyguide"
"Sasia abnormis/ochracea",10805,"slash","y00401","Rufous/White-browed Piculet","Piciformes","Picidae",NA,"Rufous/White-browed Piculet"
"Falco amurensis/subbuteo",11745,"slash","y00402","Amur Falcon/Eurasian Hobby","Falconiformes","Falconidae",NA,"בז עצים/אמור"
"Pitta concinna/elegans/vigorsii",13063,"slash","y00403","Ornate/Elegant/Banda Sea Pitta","Passeriformes","Pittidae",NA,"Ornate/Elegant/Banda Sea Pitta"
"Grallaria rufula/saturata",13899,"slash","y00404","Muisca/Equatorial Antpitta","Passeriformes","Grallariidae",NA,"Muisca/Equatorial Antpitta"
"Sclerurus mexicanus/obscurior",14154,"slash","y00405","Middle American/South American Leaftosser","Passeriformes","Furnariidae",NA,"Middle American/South American Leaftosser"
"Mionectes macconnelli/roraimae",15818,"slash","y00406","McConnell's/Sierra de Lema Flycatcher","Passeriformes","Tyrannidae",NA,"McConnell's/Sierra de Lema Flycatcher"
"Prosthemadera novaeseelandiae/Anthornis melanura",17291,"slash","y00407","Tui/New Zealand Bellbird","Passeriformes","Meliphagidae",NA,"Tui/New Zealand Bellbird"
"Coracina macei/Lalage melanoptera",18391,"slash","y00408","Indian/Oriental/Black-headed Cuckooshrike","Passeriformes","Campephagidae",NA,"Indian/Oriental/Black-headed Cuckooshrike"
"Colluricincla megarhyncha/rufogaster",18885,"slash","y00409","Arafura/Rufous Shrikethrush","Passeriformes","Pachycephalidae",NA,"Arafura/Rufous Shrikethrush"
"Dicrurus remifer/paradiseus",20049,"slash","y00410","Lesser/Greater Racket-tailed Drongo","Passeriformes","Dicruridae",NA,"Lesser/Greater Racket-tailed Drongo"
"Lanius vittatus/schach",20563,"slash","y00411","Bay-backed/Long-tailed Shrike","Passeriformes","Laniidae",NA,"Bay-backed/Long-tailed Shrike"
"Dendrocitta vagabunda/formosae",20949,"slash","y00413","Rufous/Gray Treepie","Passeriformes","Corvidae",NA,"Rufous/Gray Treepie"
"Corvus brachyrhynchos/ossifragus",21070,"slash","y00414","American/Fish Crow","Passeriformes","Corvidae",NA,"American/Fish Crow"
"Certhilauda curvirostris",21853,"species","y00415","Cape Long-billed Lark","Passeriformes","Alaudidae",NA,"Cape Long-billed Lark"
"Calandrella dukhunensis/acutirostris",22146,"slash","y00416","Hume's Lark/Mongolian Short-toed Lark","Passeriformes","Alaudidae",NA,"עפרונן מונגולי/טיבטי"
"Galerida cristata/malabarica",22308,"slash","y00417","Crested/Malabar Lark","Passeriformes","Alaudidae",NA,"Crested/Malabar Lark"
"Acrocephalus bistrigiceps/tangorum",23144,"slash","y00418","Black-browed/Manchurian Reed Warbler","Passeriformes","Acrocephalidae",NA,"Black-browed/Manchurian Reed Warbler"
"Acrocephalus concinens/tangorum",23145,"slash","y00419","Blunt-winged/Manchurian Reed Warbler","Passeriformes","Acrocephalidae",NA,"Blunt-winged/Manchurian Reed Warbler"
"Acrocephalus agricola/concinens/dumetorum/orinus",23149,"slash","y00420","Paddyfield/Blunt-winged/Blyth's/Large-billed Reed Warbler","Passeriformes","Acrocephalidae",NA,"Paddyfield/Blunt-winged/Blyth's/Large-billed Reed Warbler"
"Progne chalybea/elegans",23526,"slash","y00421","Gray-breasted/Southern Martin","Passeriformes","Hirundinidae",NA,"Gray-breasted/Southern Martin"
