SciName,HebName,IsInteractingInitialByRon,IsInteractingAddedByEyalShochat,CommentsByEyal,IsInteractingFinalByRon
Oenanthe monacha,סלעית נזירה,1,1,,1
Onychognathus tristramii,טריסטרמית,1,?,יכולות לעוף מרחקים גדולים. נוטה להשאיר,1
Parus major,ירגזי מצוי,1,1,,1
Passer domesticus,דרור הבית,1,1,,1
Passer hispaniolensis,דרור ספרדי,1,1,,1
Petronia petronia,בארית הרים,1,1,,1
Plegadis falcinellus,מגלן חום,0,0,,0
Prinia gracilis,פשוש,1,1,,1
Psittacula krameri,דררה,1,?,חוצה מרחקים גדולים בתעופה. ייתכן וחלק מהנקודות משמשות לאכילה בלבד. נוטה להשאיר,1
Pterocles alchata,קטה חדת-זנב,1,?,כל הקטות עפות מרחקים גדולים. המינים נצפים בסביבת הדגירה שלהם. להשאיר.,1
Pterocles coronatus,קטת כתר,1,?,,1
Pterocles orientalis,קטה גדולה,1,?,,1
Pterocles senegallus,קטה סנגלית,1,?,,1
Ptyonoprogne fuligula,סנונית מדבר,1,?,"נצפית בנקודות מדבריות, לא תמיד בבתי גידול המשמשים לקינון. נוטה להשאיר.",1
Pycnonotus xanthopygos,בולבול ממושקף,1,1,,1
Rhodospiza obsoleta,חצוצרן שחור-מקור,1,1,,1
Scotocerca inquieta,מדברון,1,1,,1
Serinus serinus,בזבוז אירופי,1,1,,1
Spilopelia senegalensis,צוצלת,1,1,,1
Streptopelia decaocto,תור צווארון,1,1,,1
Streptopelia turtur,תור מצוי,1,1,,1
Strix aluco,לילית מצויה,1,1,,1
Troglodytes troglodytes,גדרון מובהק,1,1,,1
Turdus merula,שחרור,1,1,,1
Upupa epops,דוכיפת,1,1,,1
Vanellus spinosus,סיקסק,1,1,,1
