"SCIENTIFIC_NAME","TAXON_ORDER","CATEGORY","SPECIES_CODE","PRIMARY_COM_NAME","ORDER","FAMILY","REPORT_AS","HebName"
"Passer hemileucus",31300,"species","aakspa1","Abd al Kuri Sparrow","Passeriformes","Passeridae",NA,"Abd al Kuri Sparrow"
"Malacocincla abbotti",26072,"species","abbbab1","Abbott's Babbler","Passeriformes","Pellorneidae",NA,"Abbott's Babbler"
"Papasula abbotti",7250,"species","abbboo2","Abbott's Booby","Suliformes","Sulidae",NA,"Abbott's Booby"
"Arizelopsar femoralis",27693,"species","abbsta2","Abbott's Starling","Passeriformes","Sturnidae",NA,"Abbott's Starling"
"Horornis flavolivaceus",24950,"species","abbwar1","Aberrant Bush Warbler","Passeriformes","Scotocercidae",NA,"Aberrant Bush Warbler"
"Horornis flavolivaceus [flavolivaceus Group]",24960,"issf","abbwar2","Aberrant Bush Warbler (Aberrant)","Passeriformes","Scotocercidae","abbwar1","Aberrant Bush Warbler (Aberrant)"
"Horornis flavolivaceus intricatus/oblitus",24964,"issf","abbwar3","Aberrant Bush Warbler (Perplexing)","Passeriformes","Scotocercidae","abbwar1","Aberrant Bush Warbler (Perplexing)"
"Cryptospiza salvadorii",30963,"species","abcwin1","Abyssinian Crimsonwing","Passeriformes","Estrildidae",NA,"Abyssinian Crimsonwing"
"Ciconia abdimii",7202,"species","abdsto1","Abdim's Stork","Ciconiiformes","Ciconiidae",NA,"חסידת אבדים"
"Cisticola aberdare",23282,"species","abecis1","Aberdare Cisticola","Passeriformes","Cisticolidae",NA,"Aberdare Cisticola"
"Turdus tephronotus",28186,"species","abethr1","African Bare-eyed Thrush","Passeriformes","Turdidae",NA,"African Bare-eyed Thrush"
"Melozone aberti",33062,"species","abetow","Abert's Towhee","Passeriformes","Passerellidae",NA,"Abert's Towhee"
"Geokichla piaggiae",28125,"species","abgthr1","Abyssinian Ground-Thrush","Passeriformes","Turdidae",NA,"Abyssinian Ground-Thrush"
"Oriolus larvatus",19457,"species","abhori1","African Black-headed Oriole","Passeriformes","Oriolidae",NA,"African Black-headed Oriole"
"Rhinopomastus minor",9547,"species","absbil1","Abyssinian Scimitarbill","Bucerotiformes","Phoeniculidae",NA,"Abyssinian Scimitarbill"
"Geospizopsis plebejus",35097,"species","absfin1","Ash-breasted Sierra Finch","Passeriformes","Thraupidae",NA,"Ash-breasted Sierra Finch"
