"SCIENTIFIC_NAME","TAXON_ORDER","CATEGORY","SPECIES_CODE","PRIMARY_COM_NAME","ORDER","FAMILY","REPORT_AS","HebName"
"Anairetes alpinus",16433,"species","abttyr1","Ash-breasted Tit-Tyrant","Passeriformes","Tyrannidae",NA,"Ash-breasted Tit-Tyrant"
"Sylvia galinieri",25042,"species","abycat1","Abyssinian Catbird","Passeriformes","Sylviidae",NA,"Abyssinian Catbird"
"Geokichla piaggiae [piaggiae Group]",28126,"issf","abygrt1","Abyssinian Ground-Thrush (Abyssinian)","Passeriformes","Turdidae","abgthr1","Abyssinian Ground-Thrush (Abyssinian)"
"Macronyx flavicollis",31661,"species","abylon1","Abyssinian Longclaw","Passeriformes","Motacillidae",NA,"Abyssinian Longclaw"
"Caprimulgus poliocephalus poliocephalus",3637,"issf","abynig1","Montane Nightjar (Abyssinian)","Caprimulgiformes","Caprimulgidae","monnig1","Montane Nightjar (Abyssinian)"
"Coracias abyssinicus",10227,"species","abyrol2","Abyssinian Roller","Coraciiformes","Coraciidae",NA,"כחל אתיופי"
"Serinus nigriceps",32309,"species","abysis1","Ethiopian Siskin","Passeriformes","Fringillidae",NA,"Ethiopian Siskin"
"Melaenornis chocolatinus",28672,"species","abyslf1","Abyssinian Slaty-Flycatcher","Passeriformes","Muscicapidae",NA,"Abyssinian Slaty-Flycatcher"
"Turdus abyssinicus",28222,"species","abythr1","Abyssinian Thrush","Passeriformes","Turdidae",NA,"Abyssinian Thrush"
"Turdus abyssinicus oldeani",28223,"issf","abythr2","Abyssinian Thrush (Ngorongoro)","Passeriformes","Turdidae","abythr1","Abyssinian Thrush (Ngorongoro)"
"Turdus abyssinicus [abyssinicus Group]",28224,"issf","abythr3","Abyssinian Thrush (Abyssinian)","Passeriformes","Turdidae","abythr1","Abyssinian Thrush (Abyssinian)"
"Zosterops socotranus",25429,"species","abywhe1","Socotra White-eye","Passeriformes","Zosteropidae",NA,"לבן-עין סוקוטרה"
"Dendropicos abyssinicus",11166,"species","abywoo1","Abyssinian Woodpecker","Piciformes","Picidae",NA,"Abyssinian Woodpecker"
"Empidonax virescens",16783,"species","acafly","Acadian Flycatcher","Passeriformes","Tyrannidae",NA,"חטפית ירקרקה"
"Prunella sp.",31254,"spuh","accent1","accentor sp.","Passeriformes","Prunellidae",NA,"סתרי בלתי-מזוהה"
"Aerospiza/Tachyspiza/Accipiter/Astur sp.",8209,"spuh","accipi","Accipitrine hawk sp. (former Accipiter sp.)","Accipitriformes","Accipitridae",NA,"נץ בלתי-מזוהה"
"Melanerpes formicivorus",11036,"species","acowoo","Acorn Woodpecker","Piciformes","Picidae",NA,"Acorn Woodpecker"
"Melanerpes formicivorus [formicivorus Group]",11037,"issf","acowoo1","Acorn Woodpecker (Acorn)","Piciformes","Picidae","acowoo","Acorn Woodpecker (Acorn)"
"Melanerpes formicivorus angustifrons",11044,"issf","acowoo2","Acorn Woodpecker (Narrow-fronted)","Piciformes","Picidae","acowoo","Acorn Woodpecker (Narrow-fronted)"
"Thamnophilus divisorius",13482,"species","acrant1","Acre Antshrike","Passeriformes","Thamnophilidae",NA,"Acre Antshrike"
"Acridotheres sp.",27656,"spuh","acrido1","Acridotheres sp.","Passeriformes","Sturnidae",NA,"Acridotheres sp."
"Acrocephalus sp.",23543,"spuh","acroce1","Acrocephalus sp.","Passeriformes","Acrocephalidae",NA,"קנית בלתי-מזוהה"
"Hemitriccus cohnhafti",16170,"species","acrtot1","Acre Tody-Tyrant","Passeriformes","Tyrannidae",NA,"Acre Tody-Tyrant"
"Pygoscelis adeliae",6862,"species","adepen1","Adelie Penguin","Sphenisciformes","Spheniscidae",NA,"Adelie Penguin"
"Platycercus elegans adelaidae/subadelaidae",12370,"issf","aderos1","Crimson Rosella (Adelaide)","Psittaciformes","Psittaculidae","criros2","Crimson Rosella (Adelaide)"
"Setophaga adelaidae",33901,"species","adewar1","Adelaide's Warbler","Passeriformes","Parulidae",NA,"Adelaide's Warbler"
"Streptopelia hypopyrrha",1984,"species","adtdov1","Adamawa Turtle-Dove","Columbiformes","Columbidae",NA,"Adamawa Turtle-Dove"
"Aerodramus sp.",4016,"spuh","aerodr1","dark swiftlet sp.","Apodiformes","Apodidae",NA,"dark swiftlet sp."
"Aethopyga sp.",30319,"spuh","aethop1","Aethopyga sp.","Passeriformes","Nectariniidae",NA,"Aethopyga sp."
"Anas sparsa",507,"species","afbduc1","African Black Duck","Anseriformes","Anatidae",NA,"ברווז שחור אפריקני"
"Elminia longicauda",21686,"species","afbfly1","African Blue Flycatcher","Passeriformes","Stenostiridae",NA,"African Blue Flycatcher"
"Glaucidium capense",8979,"species","afbowl1","African Barred Owlet","Strigiformes","Strigidae",NA,"African Barred Owlet"
"Glaucidium capense scheffleri",8980,"issf","afbowl2","African Barred Owlet (Spot-fronted)","Strigiformes","Strigidae","afbowl1","African Barred Owlet (Spot-fronted)"
"Cyanistes teneriffae",21900,"species","afbtit2","African Blue Tit","Passeriformes","Paridae",NA,"ירגזי כחול אפריקני"
"Bradypterus baboecala",23711,"species","afbwar1","Little Rush Warbler","Passeriformes","Locustellidae",NA,"Little Rush Warbler"
"Streptopelia roseogrisea",1999,"species","afcdov1","African Collared-Dove","Columbiformes","Columbidae",NA,"תור צווארון אפריקני"
"Trochocercus cyanomelas",20447,"species","afcfly1","African Crested Flycatcher","Passeriformes","Monarchidae",NA,"African Crested Flycatcher"
"Muscicapa adusta",28545,"species","afdfly1","African Dusky Flycatcher","Passeriformes","Muscicapidae",NA,"African Dusky Flycatcher"
"Curruca deserti",25104,"species","afdwar1","African Desert Warbler","Passeriformes","Sylviidae",NA,"סבכי מדבר מערבי"
"Chrysococcyx cupreus",3254,"species","afecuc1","African Emerald Cuckoo","Cuculiformes","Cuculidae",NA,"African Emerald Cuckoo"
"Chrysococcyx cupreus cupreus",3255,"issf","afecuc2","African Emerald Cuckoo (African)","Cuculiformes","Cuculidae","afecuc1","African Emerald Cuckoo (African)"
"Chrysococcyx cupreus intermedius",3256,"issf","afecuc3","African Emerald Cuckoo (Bioko)","Cuculiformes","Cuculidae","afecuc1","African Emerald Cuckoo (Bioko)"
"Chrysococcyx cupreus insularum",3257,"issf","afecuc4","African Emerald Cuckoo (Insular)","Cuculiformes","Cuculidae","afecuc1","African Emerald Cuckoo (Insular)"
"Columba unicincta",1858,"species","afepig1","Afep Pigeon","Columbiformes","Columbidae",NA,"Afep Pigeon"
"Icthyophaga vocifer",8278,"species","affeag1","African Fish-Eagle","Accipitriformes","Accipitridae",NA,"עיטם אפריקני"
"Lagonosticta rubricata",31142,"species","afffin","African Firefinch","Passeriformes","Estrildidae",NA,"African Firefinch"
"Fraseria ocreata",28623,"species","afffly1","African Forest-Flycatcher","Passeriformes","Muscicapidae",NA,"African Forest-Flycatcher"
"Bradornis microrhynchus",28589,"species","afgfly1","African Gray Flycatcher","Passeriformes","Muscicapidae",NA,"African Gray Flycatcher"
"Lophoceros nasutus",9562,"species","afghor1","African Gray Hornbill","Bucerotiformes","Bucerotidae",NA,"קלאו אפור"
"Oriolus auratus",19414,"species","afgori2","African Golden Oriole","Passeriformes","Oriolidae",NA,"African Golden Oriole"
"Tyto capensis",8513,"species","afgowl1","African Grass-Owl","Strigiformes","Tytonidae",NA,"African Grass-Owl"
"Pyrgilauda theresae",31390,"species","afgsno1","Afghan Snowfinch","Passeriformes","Passeridae",NA,"Afghan Snowfinch"
"Ploceus subaureus",30523,"species","afgwea1","African Golden-Weaver","Passeriformes","Ploceidae",NA,"African Golden-Weaver"
"Dendropicos goertae [goertae Group]",11194,"issf","afgwoo1","African Gray Woodpecker (Gray)","Piciformes","Picidae","grywoo1","African Gray Woodpecker (Gray)"
"Dendropicos goertae koenigi",11193,"issf","afgwoo2","African Gray Woodpecker (Sahel)","Piciformes","Picidae","grywoo1","African Gray Woodpecker (Sahel)"
"Sylvia abyssinica",25044,"species","afhbab1","African Hill Babbler","Passeriformes","Sylviidae",NA,"African Hill Babbler"
"Sylvia abyssinica abyssinica/stictigula",25048,"issf","afhbab2","African Hill Babbler (African)","Passeriformes","Sylviidae","afhbab1","African Hill Babbler (African)"
"Sylvia atriceps",25051,"species","afhbab3","Rwenzori Hill Babbler","Passeriformes","Sylviidae",NA,"Rwenzori Hill Babbler"
"Sylvia abyssinica monachus",25045,"issf","afhbab4","African Hill Babbler (Mt. Cameroon)","Passeriformes","Sylviidae","afhbab1","African Hill Babbler (Mt. Cameroon)"
"Sylvia abyssinica claudei",25046,"issf","afhbab5","African Hill Babbler (Claude's)","Passeriformes","Sylviidae","afhbab1","African Hill Babbler (Claude's)"
"Sylvia abyssinica stierlingi",25047,"issf","afhbab6","African Hill Babbler (Stierling's)","Passeriformes","Sylviidae","afhbab1","African Hill Babbler (Stierling's)"
"Polyboroides typus",7759,"species","afhhaw1","African Harrier-Hawk","Accipitriformes","Accipitridae",NA,"African Harrier-Hawk"
"Streptopelia decipiens",2006,"species","afmdov1","Mourning Collared-Dove","Columbiformes","Columbidae",NA,"Mourning Collared-Dove"
"Circus ranivorus",8214,"species","afmhar1","African Marsh Harrier","Accipitriformes","Accipitridae",NA,"זרון סוף אפריקני"
"Ploceus velatus",30546,"species","afmwea","Southern Masked-Weaver","Passeriformes","Ploceidae",NA,"אורג דרומי"
"Terpsiphone viridis",20553,"species","afpfly1","African Paradise-Flycatcher","Passeriformes","Monarchidae",NA,"חטפית גן-עדן אפריקנית"
"Lophoceros semifasciatus/fasciatus",9560,"slash","afphor1","West African/Congo Pied Hornbill","Bucerotiformes","Bucerotidae",NA,"West African/Congo Pied Hornbill"
"Lophoceros semifasciatus",9558,"species","afphor2","West African Pied Hornbill","Bucerotiformes","Bucerotidae",NA,"West African Pied Hornbill"
"Lophoceros fasciatus",9559,"species","afphor3","Congo Pied Hornbill","Bucerotiformes","Bucerotidae",NA,"Congo Pied Hornbill"
"Ispidina picta",9911,"species","afpkin1","African Pygmy Kingfisher","Coraciiformes","Alcedinidae",NA,"African Pygmy Kingfisher"
"Ispidina picta picta/ferrugina",9912,"issf","afpkin2","African Pygmy Kingfisher (Northern)","Coraciiformes","Alcedinidae","afpkin1","African Pygmy Kingfisher (Northern)"
"Lamprotornis bicolor",27725,"species","afpsta1","African Pied Starling","Passeriformes","Sturnidae",NA,"African Pied Starling"
"Cypsiurus parvus",4123,"species","afpswi1","African Palm Swift","Apodiformes","Apodidae",NA,"סיס-דקלים אפריקני"
"Anthoscopus caroli",22079,"species","afptit1","African Penduline-Tit","Passeriformes","Remizidae",NA,"African Penduline-Tit"
"Motacilla aguimp",31442,"species","afpwag1","African Pied Wagtail","Passeriformes","Motacillidae",NA,"נחליאלי אפריקני"
"Glaucidium capense capense/ngamiense",8981,"issf","afrbao1","African Barred Owlet (Bar-fronted)","Strigiformes","Strigidae","afbowl1","African Barred Owlet (Bar-fronted)"
"Lybiidae sp.",10576,"spuh","afrbar1","african barbet sp.","Piciformes","Lybiidae",NA,"african barbet sp."
"Smithornis capensis",13104,"species","afrbro1","African Broadbill","Passeriformes","Calyptomenidae",NA,"African Broadbill"
"Fringilla spodiogenys",31687,"species","afrcha1","African Chaffinch","Passeriformes","Fringillidae",NA,"פרוש אפריקני"
"Crithagra citrinelloides",32101,"species","afrcit1","African Citril","Passeriformes","Fringillidae",NA,"African Citril"
"Streptopelia roseogrisea (Domestic type)",2002,"domestic","afrcod1","African Collared-Dove (Domestic type or Ringed Turtle-Dove)","Columbiformes","Columbidae","afcdov1","תור צווארון אפריקני (מבוית/תור הטבעת)"
"Crecopsis egregia",5268,"species","afrcra1","African Crake","Gruiformes","Rallidae",NA,"מלכישליו אפריקני"
"Trochocercus cyanomelas [bivittatus Group]",20448,"issf","afrcrf1","African Crested Flycatcher (Eastern)","Passeriformes","Monarchidae","afcfly1","African Crested Flycatcher (Eastern)"
"Trochocercus cyanomelas cyanomelas/segregus",20452,"issf","afrcrf2","African Crested Flycatcher (Southern)","Passeriformes","Monarchidae","afcfly1","African Crested Flycatcher (Southern)"
"Cuculus gularis",3385,"species","afrcuc1","African Cuckoo","Cuculiformes","Cuculidae",NA,"African Cuckoo"
"Campephaga sp.",18578,"spuh","afrcuc2","african cuckooshrike sp.","Passeriformes","Campephagidae",NA,"african cuckooshrike sp."
"Aviceda cuculoides",7780,"species","afrcuh1","African Cuckoo-Hawk","Accipitriformes","Accipitridae",NA,"African Cuckoo-Hawk"
"Podica senegalensis",5606,"species","afrfin1","African Finfoot","Gruiformes","Heliornithidae",NA,"African Finfoot"
"Fraseria ocreata prosphora/kelsalli",28624,"issf","afrfof1","African Forest-Flycatcher (Western)","Passeriformes","Muscicapidae","afffly1","African Forest-Flycatcher (Western)"
"Fraseria ocreata ocreata",28627,"issf","afrfof2","African Forest-Flycatcher (Eastern)","Passeriformes","Muscicapidae","afffly1","African Forest-Flycatcher (Eastern)"
"Aerospiza tachiro",8023,"species","afrgos1","African Goshawk","Accipitriformes","Accipitridae",NA,"African Goshawk"
"Aerospiza tachiro unduliventer/croizati",8029,"issf","afrgos2","African Goshawk (Ethiopian)","Accipitriformes","Accipitridae","afrgos1","African Goshawk (Ethiopian)"
"Aerospiza tachiro sparsimfasciata",8032,"issf","afrgos3","African Goshawk (Eastern)","Accipitriformes","Accipitridae","afrgos1","African Goshawk (Eastern)"
"Aerospiza tachiro pembaensis",8033,"issf","afrgos4","African Goshawk (Pemba)","Accipitriformes","Accipitridae","afrgos1","African Goshawk (Pemba)"
"Aerospiza tachiro tachiro",8034,"issf","afrgos5","African Goshawk (Southern)","Accipitriformes","Accipitridae","afrgos1","African Goshawk (Southern)"
"Treron calvus",2509,"species","afrgrp1","African Green-Pigeon","Columbiformes","Columbidae",NA,"African Green-Pigeon"
"Treron calvus [calvus Group]",2510,"issf","afrgrp2","African Green-Pigeon (African)","Columbiformes","Columbidae","afrgrp1","African Green-Pigeon (African)"
"Treron calvus delalandii/granti",2524,"issf","afrgrp3","African Green-Pigeon (Gray-breasted)","Columbiformes","Columbidae","afrgrp1","African Green-Pigeon (Gray-breasted)"
"Aquila spilogaster",7980,"species","afrhae1","African Hawk-Eagle","Accipitriformes","Accipitridae",NA,"עיט ניצי אפריקני"
"Falco cuvierii",11962,"species","afrhob1","African Hobby","Falconiformes","Falconidae",NA,"African Hobby"
"Actophilornis africanus",5945,"species","afrjac1","African Jacana","Charadriiformes","Jacanidae",NA,"ז'קנה אפריקנית"
"Pseudochelidon eurystomina",23769,"species","afrmar2","African River Martin","Passeriformes","Hirundinidae",NA,"African River Martin"
"Anastomus lamelligerus",7198,"species","afrope1","African Openbill","Ciconiiformes","Ciconiidae",NA,"African Openbill"
"Haematopus moquini",5745,"species","afroys1","African Oystercatcher","Charadriiformes","Haematopodidae",NA,"שלצדף אפריקני"
"Cypsiurus gracilis griveaudi",4131,"issf","afrpas2","Malagasy Palm Swift (Comoro)","Apodiformes","Apodidae","malpas1","Malagasy Palm Swift (Comoro)"
"Cypsiurus gracilis gracilis",4132,"issf","afrpas3","Malagasy Palm Swift (Madagascar)","Apodiformes","Apodidae","malpas1","Malagasy Palm Swift (Madagascar)"
"Anthoscopus caroli sylviella/sharpei",22084,"issf","afrpet1","African Penduline-Tit (Buff-bellied)","Passeriformes","Remizidae","afptit1","African Penduline-Tit (Buff-bellied)"
"Anthoscopus caroli [ansorgei Group]",22080,"issf","afrpet2","African Penduline-Tit (White-bellied)","Passeriformes","Remizidae","afptit1","African Penduline-Tit (White-bellied)"
"Anthoscopus caroli roccatii",22087,"issf","afrpet3","African Penduline-Tit (Yellow-bellied)","Passeriformes","Remizidae","afptit1","African Penduline-Tit (Yellow-bellied)"
"Anthoscopus caroli rankinei",22088,"issf","afrpet4","African Penduline-Tit (Slaty-backed)","Passeriformes","Remizidae","afptit1","African Penduline-Tit (Slaty-backed)"
"Anthoscopus caroli [caroli Group]",22089,"issf","afrpet5","African Penduline-Tit (Buff-vented)","Passeriformes","Remizidae","afptit1","African Penduline-Tit (Buff-vented)"
"Verreauxia africana",10997,"species","afrpic1","African Piculet","Piciformes","Picidae",NA,"African Piculet"
"Anthus cinnamomeus",31488,"species","afrpip1","African Pipit","Passeriformes","Motacillidae",NA,"פפיון אפריקני"
"Anthus cinnamomeus camaroonensis",31489,"issf","afrpip2","African Pipit (Cameroon)","Passeriformes","Motacillidae","afrpip1","African Pipit (Cameroon)"
"Anthus cinnamomeus eximius",31490,"issf","afrpip3","African Pipit (Yemen)","Passeriformes","Motacillidae","afrpip1","פפיון אפריקני (תימן)"
"Anthus cinnamomeus [cinnamomeus Group]",31491,"issf","afrpip4","African Pipit (African)","Passeriformes","Motacillidae","afrpip1","African Pipit (African)"
"Anthus cinnamomeus grotei",31503,"issf","afrpip5","African Pipit (Etosha)","Passeriformes","Motacillidae","afrpip1","African Pipit (Etosha)"
"Pitta angolensis",13253,"species","afrpit1","African Pitta","Passeriformes","Pittidae",NA,"African Pitta"
"Nettapus auritus",439,"species","afrpyg1","African Pygmy-Goose","Anseriformes","Anatidae",NA,"אווזון גמדי אפריקני"
"Ispidina picta natalensis",9915,"issf","afrpyk3","African Pygmy Kingfisher (Southern)","Coraciiformes","Alcedinidae","afpkin1","African Pygmy Kingfisher (Southern)"
"Ortygospiza atricollis [fuscocrissa Group]",31054,"issf","afrqua2","Quailfinch (Spectacled)","Passeriformes","Estrildidae","quailf1","Quailfinch (Spectacled)"
"Rallus caerulescens",5257,"species","afrrai1","African Rail","Gruiformes","Rallidae",NA,"רלית אפריקנית"
"Acrocephalus scirpaceus avicenniae",23451,"issf","afrrew2","Common Reed Warbler (Mangrove)","Passeriformes","Acrocephalidae","eurwar1","קנית קטנה (מנגרובים)"
"Otus senegalensis senegalensis",8663,"issf","afrsco1","African Scops-Owl (African)","Strigiformes","Strigidae","afsowl1","African Scops-Owl (African)"
"Otus socotranus",8689,"species","afrsco2","Socotra Scops-Owl","Strigiformes","Strigidae",NA,"Socotra Scops-Owl"
"Otus senegalensis feae",8664,"issf","afrsco3","African Scops-Owl (Annobon)","Strigiformes","Strigidae","afsowl1","African Scops-Owl (Annobon)"
"Otus senegalensis nivosus",8665,"issf","afrsco4","African Scops-Owl (Snowy)","Strigiformes","Strigidae","afsowl1","African Scops-Owl (Snowy)"
"Cercotrichas galactotes minor/hamertoni",28704,"issf","afrscr1","Rufous-tailed Scrub-Robin (African)","Passeriformes","Muscicapidae","rutscr1","חמריה חלודת-זנב (אפריקנית)"
"Crithagra sp.",32184,"spuh","afrsee1","african seedeater sp.","Passeriformes","Fringillidae",NA,"african seedeater sp."
"Megabyas flammulatus",19709,"species","afrshf1","African Shrike-flycatcher","Passeriformes","Vangidae",NA,"African Shrike-flycatcher"
"Euodice cantans",30787,"species","afrsil1","African Silverbill","Passeriformes","Estrildidae",NA,"כסוף-מקור אפריקני"
"Rynchops flavirostris",6549,"species","afrski1","African Skimmer","Charadriiformes","Laridae",NA,"גיזרן אפריקני"
"Gallinago nigripennis",6033,"species","afrsni1","African Snipe","Charadriiformes","Scolopacidae",NA,"חרטומית אפריקנית"
"Platalea alba",7442,"species","afrspo1","African Spoonbill","Pelecaniformes","Threskiornithidae",NA,"כפן אפריקני"
"Saxicola torquatus",29420,"species","afrsto1","African Stonechat","Passeriformes","Muscicapidae",NA,"African Stonechat"
"Apus barbatus",4053,"species","afrswi1","African Swift","Apodiformes","Apodidae",NA,"סיס אפריקני"
"Apus barbatus sladeniae",4054,"issf","afrswi2","African Swift (Bioko)","Apodiformes","Apodidae","afrswi1","African Swift (Bioko)"
"Apus barbatus [barbatus Group]",4055,"issf","afrswi3","African Swift (African)","Apodiformes","Apodidae","afrswi1","African Swift (African)"
"Artisornis metopias",22763,"species","afrtai2","African Tailorbird","Passeriformes","Cisticolidae",NA,"African Tailorbird"
"Turdus pelios",28327,"species","afrthr1","African Thrush","Passeriformes","Turdidae",NA,"African Thrush"
"Turdus pelios [pelios Group]",28328,"issf","afrthr2","African Thrush (African)","Passeriformes","Turdidae","afrthr1","African Thrush (African)"
"Turdus pelios nigrilorum/poensis",28335,"issf","afrthr3","African Thrush (Black-lored)","Passeriformes","Turdidae","afrthr1","African Thrush (Black-lored)"
"Turdus pelios stormsi/graueri",28338,"issf","afrthr4","African Thrush (Orange-bellied)","Passeriformes","Turdidae","afrthr1","African Thrush (Orange-bellied)"
"Melaniparus sp.",22042,"spuh","afrtit1","african tit sp.","Passeriformes","Paridae",NA,"african tit sp."
"Apaloderma sp.",9356,"spuh","afrtro1","african trogon sp.","Trogoniformes","Trogonidae",NA,"african trogon sp."
"Acrocephalus scirpaceus [baeticatus Group]",23453,"issf","afrwar1","Common Reed Warbler (African)","Passeriformes","Acrocephalidae","eurwar1","קנית קטנה אפריקנית"
"Otus senegalensis",8662,"species","afsowl1","African Scops-Owl","Strigiformes","Strigidae",NA,"African Scops-Owl"
"Bradypterus barratti",23686,"species","afswar1","Barratt's Warbler","Passeriformes","Locustellidae",NA,"Barratt's Warbler"
"Strix woodfordii",9144,"species","afwowl1","African Wood-Owl","Strigiformes","Strigidae",NA,"African Wood-Owl"
"Iduna natalensis",23413,"species","afywar1","African Yellow-Warbler","Passeriformes","Acrocephalidae",NA,"African Yellow-Warbler"
"Zosterops stenocricotus",25431,"species","afywhe1","Forest White-eye","Passeriformes","Zosteropidae",NA,"Forest White-eye"
"Zosterops senegalensis",25449,"species","afywhe2","Northern Yellow White-eye","Passeriformes","Zosteropidae",NA,"Northern Yellow White-eye"
"Zosterops stuhlmanni",25432,"species","afywhe3","Green White-eye","Passeriformes","Zosteropidae",NA,"Green White-eye"
"Zosterops anderssoni",25468,"species","afywhe4","Southern Yellow White-eye","Passeriformes","Zosteropidae",NA,"Southern Yellow White-eye"
"Agamia agami",7467,"species","agaher1","Agami Heron","Pelecaniformes","Ardeidae",NA,"Agami Heron"
"Uromyias agilis",16447,"species","agitit1","Agile Tit-Tyrant","Passeriformes","Tyrannidae",NA,"Agile Tit-Tyrant"
"Certhilauda curvirostris brevirostris",22142,"issf","agular1","Cape Long-billed Lark (Agulhas)","Passeriformes","Alaudidae","y00415","Cape Long-billed Lark (Agulhas)"
"Acrocephalus nijoi",23505,"species","agurew1","Aguiguan Reed Warbler","Passeriformes","Acrocephalidae",NA,"Aguiguan Reed Warbler"
"Anas crecca carolinensis",590,"issf","agwtea1","Green-winged Teal (American)","Anseriformes","Anatidae","gnwtea","שרשיר (אמריקני)"
"Pternistis ahantensis",1783,"species","ahafra2","Ahanta Spurfowl","Galliformes","Phasianidae",NA,"Ahanta Spurfowl"
"Herpsilochmus stotzi",13660,"species","ajpant1","Aripuana Antwren","Passeriformes","Thamnophilidae",NA,"Aripuana Antwren"
"Loxops caeruleirostris",31866,"species","akekee","Akekee","Passeriformes","Fringillidae",NA,"Akekee"
"Ketupa leucosticta",8864,"species","akeowl1","Akun Eagle-Owl","Strigiformes","Strigidae",NA,"Akun Eagle-Owl"
"Loxops coccineus",31867,"species","akepa1","Hawaii Akepa","Passeriformes","Fringillidae",NA,"Hawaii Akepa"
"Loxops wolstenholmei",31868,"species","akepa2","Oahu Akepa","Passeriformes","Fringillidae",NA,"Oahu Akepa"
"Loxops ochraceus",31869,"species","akepa3","Maui Akepa","Passeriformes","Fringillidae",NA,"Maui Akepa"
"Hemignathus wilsoni",31853,"species","akiapo","Akiapolaau","Passeriformes","Fringillidae",NA,"Akiapolaau"
"Oreomystis bairdi",31828,"species","akikik","Akikiki","Passeriformes","Fringillidae",NA,"Akikiki"
"Myrmotherula snowi",13637,"species","alaant1","Alagoas Antwren","Passeriformes","Thamnophilidae",NA,"Alagoas Antwren"
"Mitu mitu",926,"species","alacur1","Alagoas Curassow","Galliformes","Cracidae",NA,"Alagoas Curassow"
"Tachybaptus rufolavatus",6748,"species","alagre1","Alaotra Grebe","Podicipediformes","Podicipedidae",NA,"Alaotra Grebe"
"Phylloscartes ceciliae",16107,"species","alatyr1","Alagoas Tyrannulet","Passeriformes","Tyrannidae",NA,"Alagoas Tyrannulet"
"Alaudala sp.",22607,"spuh","alauda1","Alaudala sp.","Passeriformes","Alaudidae",NA,"עפרונן Alaudala בלתי-מזוהה"
"Diomedeidae sp.",6932,"spuh","albatr1","albatross sp.","Procellariiformes","Diomedeidae",NA,"אלבטרוס בלתי-מזוהה"
"Menura alberti",17331,"species","alblyr1","Albert's Lyrebird","Passeriformes","Menuridae",NA,"Albert's Lyrebird"
"Glaucidium albertinum",8986,"species","albowl1","Albertine Owlet","Strigiformes","Strigidae",NA,"Albertine Owlet"
"Nesillas aldabrana",23387,"species","albwar1","Aldabra Brush-Warbler","Passeriformes","Acrocephalidae",NA,"Aldabra Brush-Warbler"
"Branta hutchinsii leucopareia",320,"issf","alcgoo1","Cackling Goose (Aleutian)","Anseriformes","Anatidae","cacgoo1","Cackling Goose (Aleutian)"
"Alcidae sp.",6379,"spuh","alcid","alcid sp.","Charadriiformes","Alcidae",NA,"אלקה/אלקית בלתי-מזוהה"
"Alcippe sp.",26171,"spuh","alcipp1","Alcippe sp.","Passeriformes","Leiothrichidae",NA,"Alcippe sp."
"Dicrurus aldabranus",20206,"species","alddro1","Aldabra Drongo","Passeriformes","Dicruridae",NA,"Aldabra Drongo"
"Empidonax alnorum",16784,"species","aldfly","Alder Flycatcher","Passeriformes","Tyrannidae",NA,"חטפית האלמון"
