unit,subunit,SciName,PRIMARY_COM_NAME,HebName,IsBreeding,Column1,Column2
Mediterranean Maquis,Carmel,Chloris chloris,European Greenfinch,ירקון,1,,
Mediterranean Maquis,Carmel,Cinnyris osea,Palestine Sunbird,צופית בוהקת,1,,
Mediterranean Maquis,Carmel,Circaetus gallicus,Short-toed Snake-Eagle,חיוויאי הנחשים,1,,
Mediterranean Maquis,Carmel,Circus aeruginosus,Eurasian Marsh-Harrier,זרון סוף,0,,
Mediterranean Maquis,Carmel,Clamator glandarius,Great Spotted Cuckoo,קוקיה מצויצת,1,,
Mediterranean Maquis,Carmel,Columba livia,Rock Pigeon,יונת סלעים,1,,
Mediterranean Maquis,Carmel,Corvus cornix,Hooded Crow,עורב אפור,1,,
Mediterranean Maquis,Carmel,Corvus monedula,Eurasian Jackdaw,קאק,1,,
Mediterranean Maquis,Carmel,Cuculus canorus,Common Cuckoo,קוקיה אירופית,0,,
Mediterranean Maquis,Carmel,Curruca communis,Greater Whitethroat,סבכי קוצים,1,,
Mediterranean Maquis,Carmel,Curruca crassirostris,Eastern Orphean Warbler,סבכי חורש,1,,
Mediterranean Maquis,Carmel,Curruca curruca,Lesser Whitethroat,סבכי טוחנים,1,,
Mediterranean Maquis,Carmel,Curruca melanocephala,Sardinian Warbler,סבכי שחור-ראש,1,,
Mediterranean Maquis,Carmel,Delichon urbicum,Common House-Martin,טסית בתים,1,,
Mediterranean Maquis,Carmel,Dendrocopos syriacus,Syrian Woodpecker,נקר סורי,1,,
Mediterranean Maquis,Carmel,Emberiza calandra,Corn Bunting,גיבתון עפרוני,1,,
Mediterranean Maquis,Carmel,Emberiza hortulana,Ortolan Bunting,גיבתון גנים,0,,
Mediterranean Maquis,Carmel,Falco naumanni,Lesser Kestrel,בז אדום,1,,
Mediterranean Maquis,Carmel,Falco subbuteo,Eurasian Hobby,בז עצים,1,,
Mediterranean Maquis,Carmel,Falco tinnunculus,Eurasian Kestrel,בז מצוי,1,,
Mediterranean Maquis,Carmel,Garrulus glandarius,Eurasian Jay,עורבני שחור-כיפה,1,,
Mediterranean Maquis,Carmel,Halcyon smyrnensis,White-throated Kingfisher,שלדג לבן חזה,1,,
Mediterranean Maquis,Carmel,Hirundo rustica,Barn Swallow,סנונית רפתות,1,,
Mediterranean Maquis,Carmel,Iduna pallida,Eastern Olivaceous Warbler,שיחנית קטנה,1,,
Mediterranean Maquis,Carmel,Lanius collurio,Red-backed Shrike,חנקן אדום-גב,0,,
Mediterranean Maquis,Carmel,Lanius nubicus,Masked Shrike,חנקן נובי,1,,
Mediterranean Maquis,Carmel,Linaria cannabina,Eurasian Linnet,תפוחית מצויה,1,,
Mediterranean Maquis,Carmel,Luscinia megarhynchos,Common Nightingale,זמיר הירדן,0,,
Mediterranean Maquis,Carmel,Melanocorypha bimaculata,Bimaculated Lark,עפרוני פסגות,0,,
Mediterranean Maquis,Carmel,Merops apiaster,European Bee-eater,שרקרק מצוי,1,,
Mediterranean Maquis,Carmel,Monticola saxatilis,Rufous-tailed Rock-Thrush,צוקית חכלילית,0,,
Mediterranean Maquis,Carmel,Muscicapa striata,Spotted Flycatcher,חטפית אפורה,1,,
Mediterranean Maquis,Carmel,Neophron percnopterus,Egyptian Vulture,רחם מדברי,1,,
Mediterranean Maquis,Carmel,Oriolus oriolus,Eurasian Golden Oriole,זהבן מחלל,0,,
Mediterranean Maquis,Carmel,Parus major,Great Tit,ירגזי מצוי,1,,
Mediterranean Maquis,Carmel,Passer domesticus,House Sparrow,דרור הבית,1,,
Mediterranean Maquis,Carmel,Phylloscopus collybita,Common Chiffchaff,עלווית חורף,0,,
Mediterranean Maquis,Carmel,Phylloscopus orientalis,Eastern Bonelli's Warbler,עלווית לבנת-בטן,0,,
Mediterranean Maquis,Carmel,Prinia gracilis,Graceful Prinia,פשוש,1,,
Mediterranean Maquis,Carmel,Psittacula krameri,Rose-ringed Parakeet,דררה,1,,
Mediterranean Maquis,Carmel,Pycnonotus xanthopygos,White-spectacled Bulbul,בולבול ממושקף,1,,
Mediterranean Maquis,Carmel,Spilopelia senegalensis,Laughing Dove,צוצלת,1,,
Mediterranean Maquis,Carmel,Streptopelia decaocto,Eurasian Collared-Dove,תור צווארון,1,,
Mediterranean Maquis,Carmel,Streptopelia turtur,European Turtle-Dove,תור מצוי,1,,
Mediterranean Maquis,Carmel,Troglodytes troglodytes,Eurasian Wren,גדרון מובהק,1,,
Mediterranean Maquis,Carmel,Turdus merula,Eurasian Blackbird,שחרור,1,,
Mediterranean Maquis,Carmel,Upupa epops,Eurasian Hoopoe,דוכיפת,1,,
Mediterranean Maquis,Carmel,Vanellus spinosus,Spur-winged Lapwing,סיקסק,1,,
Mediterranean Maquis,Galilee,Accipiter nisus,Eurasian Sparrowhawk,נץ מצוי,1,,
Mediterranean Maquis,Galilee,Acridotheres tristis,Common Myna,מיינה מצויה,1,,
Mediterranean Maquis,Galilee,Alectoris chukar,Chukar,חוגלת סלעים,1,,
Mediterranean Maquis,Galilee,Apus apus,Common Swift,סיס חומות,0,?,דוגר בערים עד קו באר שבע. סביר שנצפו אוכלוסיות נודדות
Mediterranean Maquis,Galilee,Apus pallidus,Pallid Swift,סיס חוורוור,0,,
Mediterranean Maquis,Galilee,Bubulcus ibis,Cattle Egret,אנפית בקר,1,,
Mediterranean Maquis,Galilee,Buteo buteo,Common Buzzard,עקב חורף,0,,
Mediterranean Maquis,Galilee,Buteo rufinus,Long-legged Buzzard,עקב עיטי,1,,
Mediterranean Maquis,Galilee,Carduelis carduelis,European Goldfinch,חוחית,1,,
Mediterranean Maquis,Galilee,Cecropis daurica,Red-rumped Swallow,סנונית מערות,1,,
Mediterranean Maquis,Galilee,Chloris chloris,European Greenfinch,ירקון,1,,
Mediterranean Maquis,Galilee,Cinnyris osea,Palestine Sunbird,צופית בוהקת,1,,
Mediterranean Maquis,Galilee,Circaetus gallicus,Short-toed Snake-Eagle,חיוויאי הנחשים,1,,
Mediterranean Maquis,Galilee,Clamator glandarius,Great Spotted Cuckoo,קוקיה מצויצת,1,,
Mediterranean Maquis,Galilee,Clanga pomarina,Lesser Spotted Eagle,עיט חורש,0,,
Mediterranean Maquis,Galilee,Columba livia,Rock Pigeon,יונת סלעים,1,,
Mediterranean Maquis,Galilee,Corvus cornix,Hooded Crow,עורב אפור,1,,
Mediterranean Maquis,Galilee,Corvus monedula,Eurasian Jackdaw,קאק,1,,
Mediterranean Maquis,Galilee,Curruca communis,Greater Whitethroat,סבכי קוצים,1,,
Mediterranean Maquis,Galilee,Curruca crassirostris,Eastern Orphean Warbler,סבכי חורש,1,,
Mediterranean Maquis,Galilee,Curruca curruca,Lesser Whitethroat,סבכי טוחנים,1,,
Mediterranean Maquis,Galilee,Curruca melanocephala,Sardinian Warbler,סבכי שחור-ראש,1,,
Mediterranean Maquis,Galilee,Dendrocopos syriacus,Syrian Woodpecker,נקר סורי,1,,
Mediterranean Maquis,Galilee,Egretta garzetta,Little Egret,לבנית קטנה,0,?,דוגרת בבריכות וביצות
Mediterranean Maquis,Galilee,Emberiza calandra,Corn Bunting,גיבתון עפרוני,1,,
Mediterranean Maquis,Galilee,Emberiza cia,Rock Bunting,גיבתון סלעים,0,,
Mediterranean Maquis,Galilee,Emberiza melanocephala,Black-headed Bunting,גיבתון שחור-ראש,1,,
Mediterranean Maquis,Galilee,Falco tinnunculus,Eurasian Kestrel,בז מצוי,1,,
Mediterranean Maquis,Galilee,Garrulus glandarius,Eurasian Jay,עורבני שחור-כיפה,1,,
Mediterranean Maquis,Galilee,Halcyon smyrnensis,White-throated Kingfisher,שלדג לבן חזה,1,,
Mediterranean Maquis,Galilee,Hirundo rustica,Barn Swallow,סנונית רפתות,1,,
Mediterranean Maquis,Galilee,Iduna pallida,Eastern Olivaceous Warbler,שיחנית קטנה,1,,
Mediterranean Maquis,Galilee,Lanius nubicus,Masked Shrike,חנקן נובי,1,,
Mediterranean Maquis,Galilee,Linaria cannabina,Eurasian Linnet,תפוחית מצויה,1,,
Mediterranean Maquis,Galilee,Luscinia megarhynchos,Common Nightingale,זמיר הירדן,0,,
Mediterranean Maquis,Galilee,Merops apiaster,European Bee-eater,שרקרק מצוי,1,,
Mediterranean Maquis,Galilee,Milvus migrans,Black Kite,דיה שחורה,0,,
Mediterranean Maquis,Galilee,Muscicapa striata,Spotted Flycatcher,חטפית אפורה,1,,
Mediterranean Maquis,Galilee,Oenanthe hispanica/melanoleuca,Western/Eastern Black-eared Wheatear,סלעית קיץ,1,,
Mediterranean Maquis,Galilee,Parus major,Great Tit,ירגזי מצוי,1,,
Mediterranean Maquis,Galilee,Passer domesticus,House Sparrow,דרור הבית,1,,
Mediterranean Maquis,Galilee,Phylloscopus collybita,Common Chiffchaff,עלווית חורף,0,,
Mediterranean Maquis,Galilee,Plegadis falcinellus,Glossy Ibis,מגלן חום,1,?,דוגר בבריכות וביצות
Mediterranean Maquis,Galilee,Prinia gracilis,Graceful Prinia,פשוש,1,,
Mediterranean Maquis,Galilee,Psittacula krameri,Rose-ringed Parakeet,דררה,1,,
Mediterranean Maquis,Galilee,Pycnonotus xanthopygos,White-spectacled Bulbul,בולבול ממושקף,1,,
Mediterranean Maquis,Galilee,Spilopelia senegalensis,Laughing Dove,צוצלת,1,,
Mediterranean Maquis,Galilee,Streptopelia decaocto,Eurasian Collared-Dove,תור צווארון,1,,
Mediterranean Maquis,Galilee,Streptopelia turtur,European Turtle-Dove,תור מצוי,1,,
Mediterranean Maquis,Galilee,Strix aluco,Tawny Owl,לילית מצויה,1,,
Mediterranean Maquis,Galilee,Torgos tracheliotos,Lappet-faced Vulture,עזניית הנגב,0,,לא סביר שהופיעה בסקר
Mediterranean Maquis,Galilee,Troglodytes troglodytes,Eurasian Wren,גדרון מובהק,1,,
Mediterranean Maquis,Galilee,Turdus merula,Eurasian Blackbird,שחרור,1,,
Mediterranean Maquis,Galilee,Vanellus spinosus,Spur-winged Lapwing,סיקסק,1,,
Mediterranean Maquis,Judean Highlands,Accipiter nisus,Eurasian Sparrowhawk,נץ מצוי,1,,
Mediterranean Maquis,Judean Highlands,Acridotheres tristis,Common Myna,מיינה מצויה,1,,
Mediterranean Maquis,Judean Highlands,Alectoris chukar,Chukar,חוגלת סלעים,1,,
Mediterranean Maquis,Judean Highlands,Anas platyrhynchos,Mallard,ברכיה,1,,
Mediterranean Maquis,Judean Highlands,Apus apus,Common Swift,סיס חומות,0,?,דוגר בערים עד קו באר שבע. סביר שנצפו אוכלוסיות נודדות
Mediterranean Maquis,Judean Highlands,Apus melba,Alpine Swift,סיס הרים,0,,
Mediterranean Maquis,Judean Highlands,Bubulcus ibis,Cattle Egret,אנפית בקר,1,,
Mediterranean Maquis,Judean Highlands,Burhinus oedicnemus,Eurasian Thick-knee,כרוון מצוי,1,,
Mediterranean Maquis,Judean Highlands,Buteo buteo,Common Buzzard,עקב חורף,0,,
Mediterranean Maquis,Judean Highlands,Carduelis carduelis,European Goldfinch,חוחית,1,,
Mediterranean Maquis,Judean Highlands,Cecropis daurica,Red-rumped Swallow,סנונית מערות,1,,
Mediterranean Maquis,Judean Highlands,Cercotrichas galactotes,Rufous-tailed Scrub-Robin,חמריה חלודת-זנב,1,,
Mediterranean Maquis,Judean Highlands,Cettia cetti,Cetti's Warbler,צטיה חלודית,1,,
Mediterranean Maquis,Judean Highlands,Chloris chloris,European Greenfinch,ירקון,1,,
Mediterranean Maquis,Judean Highlands,Cinnyris osea,Palestine Sunbird,צופית בוהקת,1,,
Mediterranean Maquis,Judean Highlands,Circaetus gallicus,Short-toed Snake-Eagle,חיוויאי הנחשים,1,,
Mediterranean Maquis,Judean Highlands,Circus aeruginosus,Eurasian Marsh-Harrier,זרון סוף,0,,
Mediterranean Maquis,Judean Highlands,Clamator glandarius,Great Spotted Cuckoo,קוקיה מצויצת,1,,
Mediterranean Maquis,Judean Highlands,Columba livia,Rock Pigeon,יונת סלעים,1,,
Mediterranean Maquis,Judean Highlands,Corvus cornix,Hooded Crow,עורב אפור,1,,
Mediterranean Maquis,Judean Highlands,Corvus monedula,Eurasian Jackdaw,קאק,1,,
Mediterranean Maquis,Judean Highlands,Curruca communis,Greater Whitethroat,סבכי קוצים,1,,
Mediterranean Maquis,Judean Highlands,Curruca curruca,Lesser Whitethroat,סבכי טוחנים,0,?,דוגר נדיר וחולף מצוי באיזור
Mediterranean Maquis,Judean Highlands,Curruca melanocephala,Sardinian Warbler,סבכי שחור-ראש,1,,
Mediterranean Maquis,Judean Highlands,Delichon urbicum,Common House-Martin,טסית בתים,1,,
Mediterranean Maquis,Judean Highlands,Dendrocopos syriacus,Syrian Woodpecker,נקר סורי,1,,
Mediterranean Maquis,Judean Highlands,Emberiza caesia,Cretzschmar's Bunting,גיבתון אדום-מקור,1,,
Mediterranean Maquis,Judean Highlands,Emberiza hortulana,Ortolan Bunting,גיבתון גנים,0,,
Mediterranean Maquis,Judean Highlands,Falco subbuteo,Eurasian Hobby,בז עצים,1,,
Mediterranean Maquis,Judean Highlands,Falco tinnunculus,Eurasian Kestrel,בז מצוי,1,,
Mediterranean Maquis,Judean Highlands,Galerida cristata,Crested Lark,עפרוני מצויץ,1,,
Mediterranean Maquis,Judean Highlands,Garrulus glandarius,Eurasian Jay,עורבני שחור-כיפה,1,,
Mediterranean Maquis,Judean Highlands,Hirundo rustica,Barn Swallow,סנונית רפתות,1,,
Mediterranean Maquis,Judean Highlands,Iduna pallida,Eastern Olivaceous Warbler,שיחנית קטנה,1,,
Mediterranean Maquis,Judean Highlands,Lanius nubicus,Masked Shrike,חנקן נובי,1,,
Mediterranean Maquis,Judean Highlands,Lanius senator,Woodchat Shrike,חנקן אדום-ראש,1,,
Mediterranean Maquis,Judean Highlands,Linaria cannabina,Eurasian Linnet,תפוחית מצויה,1,,
Mediterranean Maquis,Judean Highlands,Luscinia megarhynchos,Common Nightingale,זמיר הירדן,0,,
Mediterranean Maquis,Judean Highlands,Merops apiaster,European Bee-eater,שרקרק מצוי,1,,
Mediterranean Maquis,Judean Highlands,Milvus migrans,Black Kite,דיה שחורה,0,,
Mediterranean Maquis,Judean Highlands,Muscicapa striata,Spotted Flycatcher,חטפית אפורה,1,,
Mediterranean Maquis,Judean Highlands,Parus major,Great Tit,ירגזי מצוי,1,,
Mediterranean Maquis,Judean Highlands,Passer domesticus,House Sparrow,דרור הבית,1,,
Mediterranean Maquis,Judean Highlands,Phylloscopus collybita,Common Chiffchaff,עלווית חורף,0,,
Mediterranean Maquis,Judean Highlands,Phylloscopus orientalis,Eastern Bonelli's Warbler,עלווית לבנת-בטן,0,,
Mediterranean Maquis,Judean Highlands,Prinia gracilis,Graceful Prinia,פשוש,1,,
Mediterranean Maquis,Judean Highlands,Psittacula krameri,Rose-ringed Parakeet,דררה,1,,
Mediterranean Maquis,Judean Highlands,Pycnonotus xanthopygos,White-spectacled Bulbul,בולבול ממושקף,1,,
Mediterranean Maquis,Judean Highlands,Spilopelia senegalensis,Laughing Dove,צוצלת,1,,
Mediterranean Maquis,Judean Highlands,Streptopelia decaocto,Eurasian Collared-Dove,תור צווארון,1,,
Mediterranean Maquis,Judean Highlands,Streptopelia turtur,European Turtle-Dove,תור מצוי,1,,
Mediterranean Maquis,Judean Highlands,Troglodytes troglodytes,Eurasian Wren,גדרון מובהק,1,,
Mediterranean Maquis,Judean Highlands,Turdus merula,Eurasian Blackbird,שחרור,1,,
Mediterranean Maquis,Judean Highlands,Upupa epops,Eurasian Hoopoe,דוכיפת,1,,
Mediterranean Maquis,Judean Highlands,Vanellus spinosus,Spur-winged Lapwing,סיקסק,1,,
Mediterranean-Desert Transition Zone,NA,Acridotheres tristis,Common Myna,מיינה מצויה,1,,
Mediterranean-Desert Transition Zone,NA,Alectoris chukar,Chukar,חוגלת סלעים,1,,
Mediterranean-Desert Transition Zone,NA,Ammomanes deserti,Desert Lark,עפרוני מדבר,1,,
Mediterranean-Desert Transition Zone,NA,Ammoperdix heyi,Sand Partridge,קורא מדברי,1,,
Mediterranean-Desert Transition Zone,NA,Anas platyrhynchos,Mallard,ברכיה,1,,
Mediterranean-Desert Transition Zone,NA,Anthus similis,Long-billed Pipit,פפיון הרים,1,,
Mediterranean-Desert Transition Zone,NA,Apus apus,Common Swift,סיס חומות,0,?,דוגר בערים עד קו באר שבע. סביר שנצפו אוכלוסיות נודדות
Mediterranean-Desert Transition Zone,NA,Apus melba,Alpine Swift,סיס הרים,0,,
Mediterranean-Desert Transition Zone,NA,Apus pallidus,Pallid Swift,סיס חוורוור,0,,
Mediterranean-Desert Transition Zone,NA,Athene noctua,Little Owl,כוס החורבות,1,,
Mediterranean-Desert Transition Zone,NA,Bubulcus ibis,Cattle Egret,אנפית בקר,1,,
Mediterranean-Desert Transition Zone,NA,Burhinus oedicnemus,Eurasian Thick-knee,כרוון מצוי,1,,
Mediterranean-Desert Transition Zone,NA,Buteo buteo,Common Buzzard,עקב חורף,0,,
Mediterranean-Desert Transition Zone,NA,Buteo rufinus,Long-legged Buzzard,עקב עיטי,1,,
Mediterranean-Desert Transition Zone,NA,Carpospiza brachydactyla,Pale Rockfinch,דרורית קצרת-אצבעות,1,,
Mediterranean-Desert Transition Zone,NA,Cecropis daurica,Red-rumped Swallow,סנונית מערות,1,,
Mediterranean-Desert Transition Zone,NA,Cercotrichas galactotes,Rufous-tailed Scrub-Robin,חמריה חלודת-זנב,1,,
Mediterranean-Desert Transition Zone,NA,Chloris chloris,European Greenfinch,ירקון,1,,
Mediterranean-Desert Transition Zone,NA,Cinnyris osea,Palestine Sunbird,צופית בוהקת,1,,
Mediterranean-Desert Transition Zone,NA,Cisticola juncidis,Zitting Cisticola,תפר,1,,
Mediterranean-Desert Transition Zone,NA,Clamator glandarius,Great Spotted Cuckoo,קוקיה מצויצת,1,,
Mediterranean-Desert Transition Zone,NA,Columba livia,Rock Pigeon,יונת סלעים,1,,
Mediterranean-Desert Transition Zone,NA,Corvus cornix,Hooded Crow,עורב אפור,1,,
Mediterranean-Desert Transition Zone,NA,Corvus monedula,Eurasian Jackdaw,קאק,1,,
Mediterranean-Desert Transition Zone,NA,Corvus ruficollis,Brown-necked Raven,עורב חום-עורף,1,,
Mediterranean-Desert Transition Zone,NA,Coturnix coturnix,Common Quail,שליו נודד,0,?,דוגר נדיר מאד וחולף שכיח באיזור
Mediterranean-Desert Transition Zone,NA,Cuculus canorus,Common Cuckoo,קוקיה אירופית,1,,
Mediterranean-Desert Transition Zone,NA,Curruca communis,Greater Whitethroat,סבכי קוצים,0,?,דוגר מצוי וחולף נפוץ באיזור
Mediterranean-Desert Transition Zone,NA,Curruca conspicillata,Spectacled Warbler,סבכי ערבות,1,,
Mediterranean-Desert Transition Zone,NA,Curruca crassirostris,Eastern Orphean Warbler,סבכי חורש,0,,
Mediterranean-Desert Transition Zone,NA,Curruca curruca,Lesser Whitethroat,סבכי טוחנים,0,,
Mediterranean-Desert Transition Zone,NA,Curruca melanocephala,Sardinian Warbler,סבכי שחור-ראש,1,,
Mediterranean-Desert Transition Zone,NA,Delichon urbicum,Common House-Martin,טסית בתים,0,?,"דוגרת ביישובים, עד קו באר שבע. סביר שנצפו אוכלוסיות נודדות"
Mediterranean-Desert Transition Zone,NA,Dendrocopos syriacus,Syrian Woodpecker,נקר סורי,1,,
Mediterranean-Desert Transition Zone,NA,Emberiza caesia,Cretzschmar's Bunting,גיבתון אדום-מקור,0,,
Mediterranean-Desert Transition Zone,NA,Emberiza calandra,Corn Bunting,גיבתון עפרוני,1,,
Mediterranean-Desert Transition Zone,NA,Emberiza hortulana,Ortolan Bunting,גיבתון גנים,0,,
Mediterranean-Desert Transition Zone,NA,Falco naumanni,Lesser Kestrel,בז אדום,1,,
Mediterranean-Desert Transition Zone,NA,Falco tinnunculus,Eurasian Kestrel,בז מצוי,1,,
Mediterranean-Desert Transition Zone,NA,Galerida cristata,Crested Lark,עפרוני מצויץ,1,,
Mediterranean-Desert Transition Zone,NA,Garrulus glandarius,Eurasian Jay,עורבני שחור-כיפה,1,,
Mediterranean-Desert Transition Zone,NA,Hippolais languida,Upcher's Warbler,שיחנית גדולה,1,,
Mediterranean-Desert Transition Zone,NA,Hippolais olivetorum,Olive-tree Warbler,שיחנית זית,0,,
Mediterranean-Desert Transition Zone,NA,Hirundo rustica,Barn Swallow,סנונית רפתות,0,?,דוגרת נדירה ביישובים באיזור. פרטים בשטחים פתוחים הם סביר להניח חולפים
Mediterranean-Desert Transition Zone,NA,Iduna pallida,Eastern Olivaceous Warbler,שיחנית קטנה,1,,
Mediterranean-Desert Transition Zone,NA,Lanius collurio,Red-backed Shrike,חנקן אדום-גב,0,,
Mediterranean-Desert Transition Zone,NA,Lanius nubicus,Masked Shrike,חנקן נובי,0,?,דוגר לא שכיח וחולף שכיח באיזור
Mediterranean-Desert Transition Zone,NA,Lanius senator,Woodchat Shrike,חנקן אדום-ראש,1,,
Mediterranean-Desert Transition Zone,NA,Luscinia megarhynchos,Common Nightingale,זמיר הירדן,0,,
Mediterranean-Desert Transition Zone,NA,Merops apiaster,European Bee-eater,שרקרק מצוי,1,,
Mediterranean-Desert Transition Zone,NA,Milvus migrans,Black Kite,דיה שחורה,0,,
Mediterranean-Desert Transition Zone,NA,Monticola solitarius,Blue Rock-Thrush,צוקית בודדת,0,?,לריך לראות מהיכן התצפיות. באיזור זה הרבה יותר חולפות מדוגרות
Mediterranean-Desert Transition Zone,NA,Motacilla alba,White Wagtail,נחליאלי לבן,0,,
Mediterranean-Desert Transition Zone,NA,Oenanthe finschii,Finsch's Wheatear,סלעית חורף,0,,
Mediterranean-Desert Transition Zone,NA,Oenanthe hispanica/melanoleuca,Western/Eastern Black-eared Wheatear,סלעית קיץ,1,,
Mediterranean-Desert Transition Zone,NA,Oenanthe isabellina,Isabelline Wheatear,סלעית ערבות,1,?,דוגרת ״כתמית״. סביר שנצפו אוכלוסיות נודדות
Mediterranean-Desert Transition Zone,NA,Onychognathus tristramii,Tristram's Starling,טריסטרמית,1,,
Mediterranean-Desert Transition Zone,NA,Parus major,Great Tit,ירגזי מצוי,1,,
Mediterranean-Desert Transition Zone,NA,Passer domesticus,House Sparrow,דרור הבית,1,,
Mediterranean-Desert Transition Zone,NA,Passer hispaniolensis,Spanish Sparrow,דרור ספרדי,1,,
Mediterranean-Desert Transition Zone,NA,Petronia petronia,Rock Sparrow,בארית הרים,1,,
Mediterranean-Desert Transition Zone,NA,Phoenicurus ochruros,Black Redstart,חכלילית סלעים,0,,
Mediterranean-Desert Transition Zone,NA,Phylloscopus collybita,Common Chiffchaff,עלווית חורף,0,,
Mediterranean-Desert Transition Zone,NA,Prinia gracilis,Graceful Prinia,פשוש,1,,
Mediterranean-Desert Transition Zone,NA,Psittacula krameri,Rose-ringed Parakeet,דררה,1,,
Mediterranean-Desert Transition Zone,NA,Pterocles orientalis,Black-bellied Sandgrouse,קטה גדולה,1,,
Mediterranean-Desert Transition Zone,NA,Ptyonoprogne fuligula,Rock Martin,סנונית מדבר,1,,
Mediterranean-Desert Transition Zone,NA,Pycnonotus xanthopygos,White-spectacled Bulbul,בולבול ממושקף,1,,
Mediterranean-Desert Transition Zone,NA,Rhodospiza obsoleta,Desert Finch,חצוצרן שחור-מקור,1,,
Mediterranean-Desert Transition Zone,NA,Scotocerca inquieta,Scrub Warbler,מדברון,1,,
Mediterranean-Desert Transition Zone,NA,Serinus serinus,European Serin,בזבוז אירופי,1,,
Mediterranean-Desert Transition Zone,NA,Spilopelia senegalensis,Laughing Dove,צוצלת,1,,
Mediterranean-Desert Transition Zone,NA,Streptopelia decaocto,Eurasian Collared-Dove,תור צווארון,1,,
Mediterranean-Desert Transition Zone,NA,Streptopelia turtur,European Turtle-Dove,תור מצוי,1,,
Mediterranean-Desert Transition Zone,NA,Turdus merula,Eurasian Blackbird,שחרור,1,,
Mediterranean-Desert Transition Zone,NA,Upupa epops,Eurasian Hoopoe,דוכיפת,1,,
Mediterranean-Desert Transition Zone,NA,Vanellus spinosus,Spur-winged Lapwing,סיקסק,1,,
Negev Highlands,NA,Accipiter nisus,Eurasian Sparrowhawk,נץ מצוי,1,,
Negev Highlands,NA,Acridotheres tristis,Common Myna,מיינה מצויה,1,,
Negev Highlands,NA,Alaudala rufescens/heinei,Mediterranean/Turkestan Short-toed Lark,עפרונן גמדי,1,,
Negev Highlands,NA,Alectoris chukar,Chukar,חוגלת סלעים,1,,
Negev Highlands,NA,Ammomanes cinctura,Bar-tailed Lark,עפרוני חכלילי,1,,
Negev Highlands,NA,Ammomanes deserti,Desert Lark,עפרוני מדבר,1,,
Negev Highlands,NA,Ammoperdix heyi,Sand Partridge,קורא מדברי,1,,
Negev Highlands,NA,Anas platyrhynchos,Mallard,ברכיה,1,?,
Negev Highlands,NA,Anthus campestris,Tawny Pipit,פפיון צהוב,0,,
Negev Highlands,NA,Apus apus,Common Swift,סיס חומות,0,,
Negev Highlands,NA,Apus melba,Alpine Swift,סיס הרים,0,?,דוגר במצוקים. סביר שנצפו פרטים חולפים
Negev Highlands,NA,Apus pallidus,Pallid Swift,סיס חוורוור,1,,
Negev Highlands,NA,Argya squamiceps,Arabian Babbler,זנבן ערבי,1,,
Negev Highlands,NA,Athene noctua,Little Owl,כוס החורבות,1,,
Negev Highlands,NA,Bubulcus ibis,Cattle Egret,אנפית בקר,1,,
Negev Highlands,NA,Bucanetes githagineus,Trumpeter Finch,חצוצרן מדבר,1,,
Negev Highlands,NA,Burhinus oedicnemus,Eurasian Thick-knee,כרוון מצוי,1,,
Negev Highlands,NA,Buteo buteo,Common Buzzard,עקב חורף,0,,
Negev Highlands,NA,Buteo rufinus,Long-legged Buzzard,עקב עיטי,1,,
Negev Highlands,NA,Calandrella brachydactyla,Greater Short-toed Lark,עפרונן קצר-אצבעות,1,,
Negev Highlands,NA,Carpospiza brachydactyla,Pale Rockfinch,דרורית קצרת-אצבעות,1,,
Negev Highlands,NA,Cercotrichas galactotes,Rufous-tailed Scrub-Robin,חמריה חלודת-זנב,1,,
Negev Highlands,NA,Chlamydotis macqueenii,Macqueen's Bustard,חוברה מדברית,1,,
Negev Highlands,NA,Chloris chloris,European Greenfinch,ירקון,1,,
Negev Highlands,NA,Cinnyris osea,Palestine Sunbird,צופית בוהקת,1,,
Negev Highlands,NA,Clanga pomarina,Lesser Spotted Eagle,עיט חורש,0,,
Negev Highlands,NA,Columba livia,Rock Pigeon,יונת סלעים,1,,
Negev Highlands,NA,Corvus cornix,Hooded Crow,עורב אפור,1,,
Negev Highlands,NA,Corvus ruficollis,Brown-necked Raven,עורב חום-עורף,1,,
Negev Highlands,NA,Coturnix coturnix,Common Quail,שליו נודד,0,,
Negev Highlands,NA,Curruca conspicillata,Spectacled Warbler,סבכי ערבות,1,,
Negev Highlands,NA,Curruca crassirostris,Eastern Orphean Warbler,סבכי חורש,0,,
Negev Highlands,NA,Curruca curruca,Lesser Whitethroat,סבכי טוחנים,0,,
Negev Highlands,NA,Cursorius cursor,Cream-colored Courser,רץ מדבר,1,,
Negev Highlands,NA,Delichon urbicum,Common House-Martin,טסית בתים,0,,
Negev Highlands,NA,Emberiza caesia,Cretzschmar's Bunting,גיבתון אדום-מקור,0,,
Negev Highlands,NA,Emberiza calandra,Corn Bunting,גיבתון עפרוני,0,?,דוגר לא שכיח וחורף שכיח
Negev Highlands,NA,Emberiza hortulana,Ortolan Bunting,גיבתון גנים,0,,
Negev Highlands,NA,Falco peregrinus pelegrinoides,Peregrine Falcon (Barbary),בז נודד מדברי,1,,
Negev Highlands,NA,Falco tinnunculus,Eurasian Kestrel,בז מצוי,1,,
Negev Highlands,NA,Galerida cristata,Crested Lark,עפרוני מצויץ,1,,
Negev Highlands,NA,Gyps fulvus,Eurasian Griffon,נשר מקראי,1,,
