unit,subunit,SciName,PRIMARY_COM_NAME,HebName,IsBreeding,Column1,Column2
Herbaceous and Dwarf-Shrub Vegetation,NA,Apus apus,Common Swift,סיס חומות,1,,
Herbaceous and Dwarf-Shrub Vegetation,NA,Apus melba,Alpine Swift,סיס הרים,0,,
Herbaceous and Dwarf-Shrub Vegetation,NA,Athene noctua,Little Owl,כוס החורבות,1,,
Herbaceous and Dwarf-Shrub Vegetation,NA,Bubulcus ibis,Cattle Egret,אנפית בקר,1,,
Herbaceous and Dwarf-Shrub Vegetation,NA,Burhinus oedicnemus,Eurasian Thick-knee,כרוון מצוי,1,,
Herbaceous and Dwarf-Shrub Vegetation,NA,Buteo buteo,Common Buzzard,עקב חורף,0,,
Herbaceous and Dwarf-Shrub Vegetation,NA,Buteo rufinus,Long-legged Buzzard,עקב עיטי,1,,
Herbaceous and Dwarf-Shrub Vegetation,NA,Calandrella brachydactyla,Greater Short-toed Lark,עפרונן קצר-אצבעות,0,,
Herbaceous and Dwarf-Shrub Vegetation,NA,Carduelis carduelis,European Goldfinch,חוחית,1,,
Herbaceous and Dwarf-Shrub Vegetation,NA,Cecropis daurica,Red-rumped Swallow,סנונית מערות,1,,
Herbaceous and Dwarf-Shrub Vegetation,NA,Cercotrichas galactotes,Rufous-tailed Scrub-Robin,חמריה חלודת-זנב,1,,
Herbaceous and Dwarf-Shrub Vegetation,NA,Cettia cetti,Cetti's Warbler,צטיה חלודית,1,,
Herbaceous and Dwarf-Shrub Vegetation,NA,Chloris chloris,European Greenfinch,ירקון,1,,
Herbaceous and Dwarf-Shrub Vegetation,NA,Cinnyris osea,Palestine Sunbird,צופית בוהקת,1,,
Herbaceous and Dwarf-Shrub Vegetation,NA,Circaetus gallicus,Short-toed Snake-Eagle,חיוויאי הנחשים,1,,
Herbaceous and Dwarf-Shrub Vegetation,NA,Circus aeruginosus,Eurasian Marsh-Harrier,זרון סוף,0,,
Herbaceous and Dwarf-Shrub Vegetation,NA,Cisticola juncidis,Zitting Cisticola,תפר,1,,
Herbaceous and Dwarf-Shrub Vegetation,NA,Clamator glandarius,Great Spotted Cuckoo,קוקיה מצויצת,1,,
Herbaceous and Dwarf-Shrub Vegetation,NA,Clanga pomarina,Lesser Spotted Eagle,עיט חורש,0,,
Herbaceous and Dwarf-Shrub Vegetation,NA,Columba livia,Rock Pigeon,יונת סלעים,1,,
Herbaceous and Dwarf-Shrub Vegetation,NA,Coracias garrulus,European Roller,כחל מצוי,1,,
Herbaceous and Dwarf-Shrub Vegetation,NA,Corvus corax,Common Raven,עורב שחור,1,,
Herbaceous and Dwarf-Shrub Vegetation,NA,Corvus cornix,Hooded Crow,עורב אפור,1,,
Herbaceous and Dwarf-Shrub Vegetation,NA,Corvus monedula,Eurasian Jackdaw,קאק,1,,
Herbaceous and Dwarf-Shrub Vegetation,NA,Coturnix coturnix,Common Quail,שליו נודד,1,,
Herbaceous and Dwarf-Shrub Vegetation,NA,Cuculus canorus,Common Cuckoo,קוקיה אירופית,0,?,"נכון להיום קוקיה אירופית נמצאה מטפילה קיני מדברונים ופפיוני הרים בלבד, בבתות ספר ובתה ים-תיכונית. פפיוני הרים דוגרים בגבעות סירה קוצנית, ונמנעים מבתות עם שיחים גדולים יותר. מחוץ לאיזור המדברי, מדברונים עושים כנל. לכן, אם בתה שיחנית היא כזו עם אשחרים, חורש דליל, הייתי מוריד קוקיות אירופיות. כנל בבתות עשבוניות."
Herbaceous and Dwarf-Shrub Vegetation,NA,Curruca communis,Greater Whitethroat,סבכי קוצים,1,,
Herbaceous and Dwarf-Shrub Vegetation,NA,Curruca crassirostris,Eastern Orphean Warbler,סבכי חורש,1,,
Herbaceous and Dwarf-Shrub Vegetation,NA,Curruca curruca,Lesser Whitethroat,סבכי טוחנים,0,,
Herbaceous and Dwarf-Shrub Vegetation,NA,Curruca melanocephala,Sardinian Warbler,סבכי שחור-ראש,1,,
Herbaceous and Dwarf-Shrub Vegetation,NA,Delichon urbicum,Common House-Martin,טסית בתים,0,,
Herbaceous and Dwarf-Shrub Vegetation,NA,Dendrocopos syriacus,Syrian Woodpecker,נקר סורי,1,,
Herbaceous and Dwarf-Shrub Vegetation,NA,Elanus caeruleus,Black-winged Kite,דאה שחורת-כתף,1,,
Herbaceous and Dwarf-Shrub Vegetation,NA,Emberiza caesia,Cretzschmar's Bunting,גיבתון אדום-מקור,1,,
Herbaceous and Dwarf-Shrub Vegetation,NA,Emberiza calandra,Corn Bunting,גיבתון עפרוני,1,,
Herbaceous and Dwarf-Shrub Vegetation,NA,Emberiza hortulana,Ortolan Bunting,גיבתון גנים,0,,
Herbaceous and Dwarf-Shrub Vegetation,NA,Emberiza melanocephala,Black-headed Bunting,גיבתון שחור-ראש,1,,
Herbaceous and Dwarf-Shrub Vegetation,NA,Falco naumanni,Lesser Kestrel,בז אדום,1,,
Herbaceous and Dwarf-Shrub Vegetation,NA,Falco tinnunculus,Eurasian Kestrel,בז מצוי,1,,
Herbaceous and Dwarf-Shrub Vegetation,NA,Francolinus francolinus,Black Francolin,פרנקולין שחור,1,,
Herbaceous and Dwarf-Shrub Vegetation,NA,Galerida cristata,Crested Lark,עפרוני מצויץ,1,,
Herbaceous and Dwarf-Shrub Vegetation,NA,Gallinula chloropus,Eurasian Moorhen,סופית,1,,
Herbaceous and Dwarf-Shrub Vegetation,NA,Garrulus glandarius,Eurasian Jay,עורבני שחור-כיפה,1,,
Herbaceous and Dwarf-Shrub Vegetation,NA,Halcyon smyrnensis,White-throated Kingfisher,שלדג לבן חזה,1,,
Herbaceous and Dwarf-Shrub Vegetation,NA,Hirundo rustica,Barn Swallow,סנונית רפתות,1,,
Herbaceous and Dwarf-Shrub Vegetation,NA,Iduna pallida,Eastern Olivaceous Warbler,שיחנית קטנה,1,,
Herbaceous and Dwarf-Shrub Vegetation,NA,Lanius collurio,Red-backed Shrike,חנקן אדום-גב,0,,
